Pokemon('bulbasaur', 64, 'poison', 'grass')
Pokemon('eelektross', 232, 'electric', None)
Pokemon('elgyem', 67, 'psychic', None)
Pokemon('beheeyem', 170, 'psychic', None)
Pokemon('litwick', 55, 'fire', 'ghost')
Pokemon('lampent', 130, 'fire', 'ghost')
Pokemon('chandelure', 234, 'fire', 'ghost')
Pokemon('axew', 64, 'dragon', None)
Pokemon('fraxure', 144, 'dragon', None)
Pokemon('haxorus', 243, 'dragon', None)
Pokemon('cubchoo', 61, 'ice', None)
Pokemon('beartic', 177, 'ice', None)
Pokemon('cryogonal', 180, 'ice', None)
Pokemon('shelmet', 61, 'bug', None)
Pokemon('accelgor', 173, 'bug', None)
Pokemon('stunfisk', 165, 'electric', 'ground')
Pokemon('mienfoo', 70, 'fighting', None)
Pokemon('mienshao', 179, 'fighting', None)
Pokemon('druddigon', 170, 'dragon', None)
Pokemon('golett', 61, 'ghost', 'ground')
Pokemon('golurk', 169, 'ghost', 'ground')
Pokemon('pawniard', 68, 'steel', 'dark')
Pokemon('bisharp', 172, 'steel', 'dark')
Pokemon('bouffalant', 172, 'normal', None)
Pokemon('rufflet', 70, 'flying', 'normal')
Pokemon('braviary', 179, 'flying', 'normal')
Pokemon('vullaby', 74, 'flying', 'dark')
Pokemon('mandibuzz', 179, 'flying', 'dark')
Pokemon('heatmor', 169, 'fire', None)
Pokemon('durant', 169, 'steel', 'bug')
Pokemon('deino', 60, 'dragon', 'dark')
Pokemon('zweilous', 147, 'dragon', 'dark')
Pokemon('hydreigon', 270, 'dragon', 'dark')
Pokemon('larvesta', 72, 'fire', 'bug')
Pokemon('volcarona', 248, 'fire', 'bug')
Pokemon('cobalion', 261, 'fighting', 'steel')
Pokemon('terrakion', 261, 'fighting', 'rock')
Pokemon('virizion', 261, 'fighting', 'grass')
Pokemon('tornadus-incarnate', 261, 'flying', None)
Pokemon('thundurus-incarnate', 261, 'flying', 'electric')
Pokemon('reshiram', 306, 'fire', 'dragon')
Pokemon('zekrom', 306, 'electric', 'dragon')
Pokemon('landorus-incarnate', 270, 'flying', 'ground')
Pokemon('kyurem', 297, 'ice', 'dragon')
Pokemon('keldeo-ordinary', 261, 'fighting', 'water')
Pokemon('meloetta-aria', 270, 'psychic', 'normal')
Pokemon('genesect', 270, 'steel', 'bug')
Pokemon('chespin', 63, 'grass', None)
Pokemon('quilladin', 142, 'grass', None)
Pokemon('chesnaught', 239, 'fighting', 'grass')
Pokemon('fennekin', 61, 'fire', None)
Pokemon('braixen', 143, 'fire', None)
Pokemon('delphox', 240, 'psychic', 'fire')
Pokemon('froakie', 63, 'water', None)
Pokemon('frogadier', 142, 'water', None)
Pokemon('greninja', 239, 'dark', 'water')
Pokemon('bunnelby', 47, 'normal', None)
Pokemon('diggersby', 148, 'ground', 'normal')
Pokemon('fletchling', 56, 'flying', 'normal')
Pokemon('fletchinder', 134, 'flying', 'fire')
Pokemon('talonflame', 175, 'flying', 'fire')
Pokemon('scatterbug', 40, 'bug', None)
Pokemon('spewpa', 75, 'bug', None)
Pokemon('vivillon', 185, 'flying', 'bug')
Pokemon('litleo', 74, 'normal', 'fire')
Pokemon('pyroar', 177, 'normal', 'fire')
Pokemon('flabebe', 61, 'fairy', None)
Pokemon('floette', 130, 'fairy', None)
Pokemon('florges', 248, 'fairy', None)
Pokemon('skiddo', 70, 'grass', None)
Pokemon('gogoat', 186, 'grass', None)
Pokemon('pancham', 70, 'fighting', None)
Pokemon('pangoro', 173, 'dark', 'fighting')
Pokemon('furfrou', 165, 'normal', None)
Pokemon('doublade', 157, 'ghost', 'steel')
Pokemon('aegislash-shield', 234, 'ghost', 'steel')
Pokemon('spritzee', 68, 'fairy', None)
Pokemon('aromatisse', 162, 'fairy', None)
Pokemon('swirlix', 68, 'fairy', None)
Pokemon('slurpuff', 168, 'fairy', None)
Pokemon('inkay', 58, 'psychic', 'dark')
Pokemon('malamar', 169, 'psychic', 'dark')
Pokemon('binacle', 61, 'water', 'rock')
Pokemon('barbaracle', 175, 'water', 'rock')
Pokemon('skrelp', 64, 'water', 'poison')
Pokemon('dragalge', 173, 'dragon', 'poison')
Pokemon('clauncher', 66, 'water', None)
Pokemon('clawitzer', 100, 'water', None)
Pokemon('helioptile', 58, 'normal', 'electric')
Pokemon('heliolisk', 168, 'normal', 'electric')
Pokemon('tyrunt', 72, 'dragon', 'rock')
Pokemon('tyrantrum', 182, 'dragon', 'rock')
Pokemon('amaura', 72, 'ice', 'rock')
Pokemon('aurorus', 104, 'ice', 'rock')
Pokemon('sylveon', 184, 'fairy', None)
Pokemon('hawlucha', 175, 'flying', 'fighting')
Pokemon('dedenne', 151, 'fairy', 'electric')
Pokemon('carbink', 100, 'fairy', 'rock')
Pokemon('goomy', 60, 'dragon', None)
Pokemon('sliggoo', 158, 'dragon', None)
Pokemon('goodra', 270, 'dragon', None)
Pokemon('klefki', 165, 'fairy', 'steel')
Pokemon('phantump', 62, 'grass', 'ghost')
Pokemon('trevenant', 166, 'grass', 'ghost')
Pokemon('pumpkaboo-average', 67, 'grass', 'ghost')
Pokemon('gourgeist-average', 173, 'grass', 'ghost')
Pokemon('bergmite', 61, 'ice', None)
Pokemon('avalugg', 180, 'ice', None)
Pokemon('noibat', 49, 'dragon', 'flying')
Pokemon('noivern', 187, 'dragon', 'flying')
Pokemon('xerneas', 306, 'fairy', None)
Pokemon('yveltal', 306, 'flying', 'dark')
Pokemon('zygarde', 270, 'ground', 'dragon')
Pokemon('diancie', 270, 'fairy', 'rock')
Pokemon('hoopa', 270, 'ghost', 'psychic')
Pokemon('volcanion', 270, 'water', 'fire')
Pokemon('rowlet', 64, 'flying', 'grass')
Pokemon('dartrix', 147, 'flying', 'grass')
Pokemon('decidueye', 239, 'ghost', 'grass')
Pokemon('litten', 64, 'fire', None)
Pokemon('torracat', 147, 'fire', None)
Pokemon('incineroar', 239, 'dark', 'fire')
Pokemon('popplio', 64, 'water', None)
Pokemon('brionne', 147, 'water', None)
Pokemon('primarina', 239, 'fairy', 'water')
Pokemon('pikipek', 53, 'flying', 'normal')
Pokemon('trumbeak', 124, 'flying', 'normal')
Pokemon('toucannon', 218, 'flying', 'normal')
Pokemon('yungoos', 51, 'normal', None)
Pokemon('gumshoos', 146, 'normal', None)
Pokemon('grubbin', 60, 'bug', None)
Pokemon('charjabug', 140, 'electric', 'bug')
Pokemon('vikavolt', 225, 'electric', 'bug')
Pokemon('crabrawler', 68, 'fighting', None)
Pokemon('crabominable', 167, 'ice', 'fighting')
Pokemon('oricorio-baile', 167, 'flying', 'fire')
Pokemon('cutiefly', 61, 'fairy', 'bug')
Pokemon('ribombee', 162, 'fairy', 'bug')
Pokemon('rockruff', 56, 'rock', None)
Pokemon('lycanroc-midday', 170, 'rock', None)
Pokemon('wishiwashi-solo', 61, 'water', None)
Pokemon('mareanie', 61, 'water', 'poison')
Pokemon('toxapex', 173, 'water', 'poison')
Pokemon('mudbray', 77, 'ground', None)
Pokemon('mudsdale', 175, 'ground', None)
Pokemon('dewpider', 54, 'bug', 'water')
Pokemon('araquanid', 159, 'bug', 'water')
Pokemon('fomantis', 50, 'grass', None)
Pokemon('lurantis', 168, 'grass', None)
Pokemon('morelull', 57, 'fairy', 'grass')
Pokemon('shiinotic', 142, 'fairy', 'grass')
Pokemon('salandit', 64, 'fire', 'poison')
Pokemon('salazzle', 168, 'fire', 'poison')
Pokemon('stufful', 68, 'fighting', 'normal')
Pokemon('bewear', 175, 'fighting', 'normal')
Pokemon('bounsweet', 42, 'grass', None)
Pokemon('steenee', 102, 'grass', None)
Pokemon('tsareena', 230, 'grass', None)
Pokemon('comfey', 170, 'fairy', None)
Pokemon('oranguru', 172, 'psychic', 'normal')
Pokemon('passimian', 172, 'fighting', None)
Pokemon('wimpod', 46, 'water', 'bug')
Pokemon('golisopod', 186, 'water', 'bug')
Pokemon('sandygast', 64, 'ground', 'ghost')
Pokemon('palossand', 168, 'ground', 'ghost')
Pokemon('pyukumuku', 144, 'water', None)
Pokemon('type-null', 107, 'normal', None)
Pokemon('silvally', 257, 'normal', None)
Pokemon('minior-red-meteor', 154, 'flying', 'rock')
Pokemon('komala', 168, 'normal', None)
Pokemon('turtonator', 170, 'dragon', 'fire')
Pokemon('togedemaru', 152, 'steel', 'electric')
Pokemon('mimikyu-disguised', 167, 'fairy', 'ghost')
Pokemon('bruxish', 166, 'psychic', 'water')
Pokemon('drampa', 170, 'dragon', 'normal')
Pokemon('dhelmise', 181, 'grass', 'ghost')
Pokemon('jangmo-o', 60, 'dragon', None)
Pokemon('hakamo-o', 147, 'fighting', 'dragon')
Pokemon('kommo-o', 270, 'fighting', 'dragon')
Pokemon('tapu-koko', 257, 'fairy', 'electric')
Pokemon('tapu-lele', 257, 'fairy', 'psychic')
Pokemon('tapu-bulu', 257, 'fairy', 'grass')
Pokemon('tapu-fini', 257, 'fairy', 'water')
Pokemon('cosmog', 40, 'psychic', None)
Pokemon('cosmoem', 140, 'psychic', None)
Pokemon('solgaleo', 306, 'steel', 'psychic')
Pokemon('lunala', 306, 'ghost', 'psychic')
Pokemon('nihilego', 257, 'poison', 'rock')
Pokemon('buzzwole', 257, 'fighting', 'bug')
Pokemon('pheromosa', 257, 'fighting', 'bug')
Pokemon('xurkitree', 257, 'electric', None)
Pokemon('celesteela', 257, 'flying', 'steel')
Pokemon('kartana', 257, 'steel', 'grass')
Pokemon('guzzlord', 257, 'dragon', 'dark')
Pokemon('necrozma', 270, 'psychic', None)
Pokemon('magearna', 270, 'fairy', 'steel')
Pokemon('marshadow', 270, 'ghost', 'fighting')
Pokemon('poipole', 189, 'poison', None)
Pokemon('naganadel', 243, 'dragon', 'poison')
Pokemon('stakataka', 257, 'steel', 'rock')
Pokemon('blacephalon', 257, 'ghost', 'fire')
Pokemon('zeraora', 270, 'electric', None)
